Member,KMeans,GMM,Agglomerative,Hierarchical,RFM,Spark KMeans,RFM_Score,RFM_Segment,KMeans_Percent,GMM_Percent,Agglomerative_Percent,Hierarchical_Percent,RFM_Percent,SparkKMeans_Percent
1000,2,1,1,2,2,3,9,Loyal Customers,36.63,21.58,29.89,29.89,32.84,36.35
1001,2,3,0,4,2,3,8,Loyal Customers,36.63,24.96,36.76,36.76,32.84,36.35
1002,0,0,0,4,1,2,7,Loyal Customers,26.68,28.35,36.76,36.76,20.99,27.32
1003,1,2,0,4,0,0,5,Ordinary Buyers,19.98,25.12,36.76,36.76,29.3,20.09
1004,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
1005,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
1006,3,3,3,1,2,1,10,VIP,16.7,24.96,10.6,10.6,32.84,16.24
1008,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
1009,2,2,1,2,1,3,7,Loyal Customers,36.63,25.12,29.89,29.89,20.99,36.35
1010,2,0,1,2,2,3,8,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
1011,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
1012,2,0,0,4,2,3,10,VIP,36.63,28.35,36.76,36.76,32.84,36.35
1013,3,1,3,1,3,1,11,VIP,16.7,21.58,10.6,10.6,16.88,16.24
1014,2,0,0,4,2,3,9,Loyal Customers,36.63,28.35,36.76,36.76,32.84,36.35
1015,2,2,0,4,1,2,6,Ordinary Buyers,36.63,25.12,36.76,36.76,20.99,27.32
1016,2,0,1,2,2,3,9,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
1017,2,0,1,2,2,3,9,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
1018,0,3,0,4,1,2,7,Loyal Customers,26.68,24.96,36.76,36.76,20.99,27.32
1019,1,3,2,3,0,0,4,Ordinary Buyers,19.98,24.96,22.76,22.76,29.3,20.09
1020,2,0,1,2,2,3,8,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
1021,0,0,0,4,2,2,8,Loyal Customers,26.68,28.35,36.76,36.76,32.84,27.32
1022,1,3,0,4,1,0,6,Ordinary Buyers,19.98,24.96,36.76,36.76,20.99,20.09
1023,3,3,1,2,2,1,10,VIP,16.7,24.96,29.89,29.89,32.84,16.24
1024,0,0,2,3,0,2,5,Ordinary Buyers,26.68,28.35,22.76,22.76,29.3,27.32
