Method A,Method B,ARI,NMI
cluster_kmeans,cluster_gmm,0.24043046364039314,0.32234252735433905
cluster_kmeans,cluster_agg,0.3410489320070011,0.4740900341526067
cluster_kmeans,cluster_hier,0.3410489320070011,0.4740900341526067
cluster_kmeans,cluster_spark,0.9620536226900601,0.9516825624390167
cluster_gmm,cluster_agg,0.20866982012229207,0.2782746260617604
cluster_gmm,cluster_hier,0.20866982012229207,0.2782746260617604
cluster_gmm,cluster_spark,0.24430672515596574,0.32476067648620605
cluster_agg,cluster_hier,1.0,1.0
cluster_agg,cluster_spark,0.35124751085019795,0.4785341499483907
cluster_hier,cluster_spark,0.35124751085019795,0.4785341499483907
