Member_number,Recency,Frequency,Monetary,Category_Diversity,cluster_kmeans,cluster_gmm,cluster_agg,cluster_hier,R_quartile,F_quartile,M_quartile,RFM_Score,cluster_rfm,cluster_spark
1000,35,13,53.8,7,2,1,1,2,4,3,2,9,2,3
1001,242,12,100.0,4,2,3,0,4,2,3,3,8,2,3
1002,122,8,70.3,4,0,0,0,4,3,2,2,7,1,2
1003,323,8,60.65,5,1,2,0,4,1,2,2,5,0,0
1004,28,21,204.96,6,3,1,3,1,4,4,4,12,3,1
1005,706,4,24.0,3,1,2,2,3,1,1,1,3,0,0
1006,199,15,182.94,7,3,3,3,1,2,4,4,10,2,1
1008,88,12,155.9,5,2,1,1,2,3,3,4,10,2,3
1009,86,9,48.75,7,2,2,1,2,3,2,2,7,1,3
1010,152,12,89.36,5,2,0,1,2,2,3,3,8,2,3
1011,21,13,89.8,5,2,1,1,2,4,3,3,10,2,3
1012,41,11,75.86,5,2,0,0,4,4,3,3,10,2,3
1013,89,19,186.75,8,3,1,3,1,3,4,4,11,3,1
1014,88,10,75.10000000000001,5,2,0,0,4,3,3,3,9,2,3
1015,240,7,71.4,5,2,2,0,4,2,2,2,6,1,2
1016,86,11,104.7,6,2,0,1,2,3,3,3,9,2,3
1017,91,11,75.49,6,2,0,1,2,3,3,3,9,2,3
1018,221,8,94.60000000000001,4,0,3,0,4,2,2,3,7,1,2
1019,385,2,73.5,2,1,3,2,3,1,1,2,4,0,0
1020,78,10,73.84,7,2,0,1,2,3,3,2,8,2,3
1021,53,8,53.4,5,0,0,0,4,4,2,2,8,2,2
1022,571,6,117.5,4,1,3,0,4,1,1,4,6,1,0
1023,185,17,182.0,6,3,3,1,2,2,4,4,10,2,1
1024,142,4,58.199999999999996,1,0,0,2,3,2,1,2,5,0,2
1025,133,6,42.62,4,0,0,0,4,3,1,1,5,0,2
1026,216,17,117.35000000000001,6,2,3,1,2,2,4,4,10,2,3
1027,227,9,129.70000000000002,6,2,3,1,2,2,2,4,8,2,3
1028,172,13,107.60000000000001,6,2,3,1,2,2,3,3,8,2,3
1029,291,2,16.349999999999998,2,1,2,2,3,1,1,1,3,0,0
1031,76,7,64.60000000000001,5,0,0,0,4,3,2,2,7,1,2
1032,129,16,96.46000000000001,7,2,3,3,1,3,4,3,10,2,3
1033,198,12,91.30000000000001,4,2,3,0,4,2,3,3,8,2,3
1034,596,9,83.04999999999998,7,1,2,0,4,1,2,3,6,1,0
1035,113,14,69.89999999999999,7,2,0,1,2,3,4,2,9,2,3
1036,709,2,10.8,2,1,2,2,3,1,1,1,3,0,0
1037,14,10,58.44,6,2,0,0,4,4,3,2,9,2,3
1038,16,19,214.20000000000002,7,3,1,3,1,4,4,4,12,3,1
1039,213,2,2.7,2,0,2,2,3,2,1,1,4,0,2
1040,34,11,48.1,4,0,1,0,4,4,3,2,9,2,2
1041,272,10,113.75000000000001,5,2,3,0,4,2,3,3,8,2,3
1042,75,6,35.75,4,0,0,0,4,3,1,1,5,0,2
1043,354,8,94.69,4,1,3,0,4,1,2,3,6,1,0
1044,66,4,25.400000000000002,2,0,0,2,3,3,1,1,5,0,2
1045,35,9,103.30000000000001,5,2,1,1,2,4,2,3,9,2,3
1046,189,4,16.7,4,0,2,2,3,2,1,1,4,0,2
1047,143,6,51.60000000000001,4,0,0,0,4,2,1,2,5,0,2
1048,73,6,23.8,4,0,0,0,4,3,1,1,5,0,2
1049,116,8,62.3,4,0,0,0,4,3,2,2,7,1,2
1050,240,14,124.6,8,3,3,1,2,2,4,4,10,2,3
1051,50,20,207.35999999999999,8,3,1,3,1,4,4,4,12,3,1
1052,64,27,271.9,7,3,1,3,1,3,4,4,11,3,1
1053,174,12,80.7,5,2,3,0,4,2,3,3,8,2,3
1054,70,9,43.9,4,0,0,0,4,3,2,2,7,1,2
1055,219,6,75.69999999999999,4,0,3,0,4,2,1,3,6,1,2
1056,51,6,58.199999999999996,2,0,0,2,3,4,1,2,7,1,2
1057,570,8,32.15,4,1,2,2,3,1,2,1,4,0,0
1058,50,8,38.9,3,0,0,0,4,4,2,1,7,1,2
1059,564,5,16.8,5,1,2,2,3,1,1,1,3,0,0
1061,116,14,149.1,6,3,3,1,2,3,4,4,11,3,1
1062,103,16,129.32,6,3,3,1,2,3,4,4,11,3,1
1063,341,4,8.1,3,1,2,2,3,1,1,1,3,0,0
1064,158,7,59.1,3,0,0,0,4,2,2,2,6,1,2
1065,47,14,225.4,5,3,1,1,2,4,4,4,12,3,1
1066,566,6,19.92,5,1,2,2,3,1,1,1,3,0,0
1067,163,8,112.3,4,0,3,0,4,2,2,3,7,1,2
1068,182,4,20.700000000000003,3,0,2,2,3,2,1,1,4,0,2
1069,132,10,90.45,6,2,0,1,2,3,3,3,9,2,3
1070,420,4,66.39999999999999,4,1,3,0,4,1,1,2,4,0,0
1071,460,3,17.1,3,1,2,2,3,1,1,1,3,0,0
1072,68,4,50.699999999999996,2,0,0,2,3,3,1,2,6,1,2
1073,27,12,109.80000000000001,7,2,1,1,2,4,3,3,10,2,3
1074,75,10,71.96000000000001,5,2,0,0,4,3,3,2,8,2,3
1075,41,11,80.3,6,2,0,1,2,4,3,3,10,2,3
1076,77,13,87.9,4,2,1,0,4,3,3,3,9,2,3
1077,109,14,50.900000000000006,5,2,3,0,4,3,4,2,9,2,3
1078,63,7,50.0,4,0,0,0,4,3,2,2,7,1,2
1079,112,6,89.1,4,0,0,0,4,3,1,3,7,1,2
1080,230,5,17.8,4,0,2,2,3,2,1,1,4,0,2
1081,241,16,138.6,6,3,3,1,2,2,4,4,10,2,1
1082,596,5,65.8,4,1,2,2,3,1,1,2,4,0,0
1083,327,7,102.7,5,2,3,0,4,1,2,3,6,1,3
1084,621,2,7.6,1,1,2,2,3,1,1,1,3,0,0
1085,137,7,31.740000000000002,5,0,2,0,4,3,2,1,6,1,2
1086,2,14,94.4,6,2,1,1,2,4,4,3,11,3,3
1087,138,21,193.82,5,3,3,3,1,3,4,4,11,3,1
1088,30,9,58.75,3,0,0,0,4,4,2,2,8,2,2
1089,390,2,9.3,2,1,2,2,3,1,1,1,3,0,0
1090,70,12,219.2,7,3,1,3,1,3,3,4,10,2,1
1092,82,20,104.31,8,3,1,3,1,3,4,3,10,2,1
1093,277,2,3.65,2,1,2,2,3,2,1,1,4,0,0
1094,113,20,149.79,8,3,3,3,1,3,4,4,11,3,1
1095,61,8,57.76,5,0,0,0,4,3,2,2,7,1,2
1096,155,2,15.3,2,0,0,2,3,2,1,1,4,0,2
1097,59,17,106.48,5,2,1,1,2,3,4,3,10,2,3
1098,48,24,267.62,7,3,1,3,1,4,4,4,12,3,1
1099,139,6,39.7,4,0,0,0,4,3,1,1,5,0,2
1100,293,10,88.3,6,2,3,1,2,1,3,3,7,1,3
1101,367,7,52.0,4,1,2,0,4,1,2,2,5,0,0
1102,186,10,73.69999999999999,6,2,0,1,2,2,3,2,7,1,3
1103,403,10,87.1,6,2,3,0,4,1,3,3,7,1,3
1104,64,10,40.25,3,0,0,0,4,3,3,1,7,1,2
